id,name,hierarchy_level,type
-100000000016251479,maniema,9,locality
-100000000016250353,mbunya 1,9,locality
-100000000016250349,kakwa 2,9,locality
-100000000016250350,balele 1,9,locality
-100000000016250354,mbunya 2,9,locality
-100000000016250351,balele 2,9,locality
-100000000016250347,mont fleuri,9,locality
-100000000016250404,kondifa,9,locality
-100000000016250402,kakwa 1,9,locality
-100000000016250403,de la prison,9,locality
-100000000016250346,manzikala,9,locality
-100000000016251225,logo 1,9,locality
-100000000016251480,chem-chem,9,locality
-100000000016250345,ndoromo,9,locality
-100000000014304449,vighole,9,locality
-100000000014307097,mupo,9,locality
-100000000014307096,lirombi,9,locality
-100000000014304448,kavali,9,locality
-100000000014304446,kaghembe,9,locality
-100000000014304447,malihi,9,locality
-100000000014304450,kighutu,9,locality
-100000000014300521,ngolwe a,9,locality
-100000000014300522,ngolwe b,9,locality
-100000000014285984,burundo,9,locality
-100000000014285986,mikama,9,locality
-100000000014285985,musingiri,9,locality
-100000000014285988,livate a,9,locality
-100000000014285987,livate b,9,locality
-100000000014285989,ngingi,9,locality
-100000000014285990,kibunano,9,locality
-100000000014285991,vuhendera,9,locality
-100000000014288151,bungulu,9,locality
-100000000014285983,mbovote,9,locality
-100000000014320843,lunga,9,locality
-100000000014320841,kirindera,9,locality
-100000000014320844,vuhika,9,locality
-100000000014320837,katwa mission,9,locality
-100000000014320845,binone,9,locality
-100000000014320838,mitete,9,locality
-100000000014320839,vuhunga,9,locality
-100000000014320840,kavisa,9,locality
-100000000014320846,mabwe,9,locality
-100000000014320842,kavughavugha,9,locality
-100000000014331279,biondi,9,locality
-100000000014331280,kimbesa,9,locality
-100000000014331281,mulekya,9,locality
-100000000014331278,vungi a,9,locality
-100000000014331282,kalongolero,9,locality
-100000000014331276,cofaco,9,locality
-100000000014331277,vungi b,9,locality
-100000000012687032,kaza roho,9,locality
-100000000012687164,kolokwa,9,locality
-100000000012687267,bas congo,9,locality
-100000000012687313,yambayamba,9,locality
-100000000012687339,kilembo,9,locality
-100000000009463067,kasi,9,locality
-100000000009463066,regideso,9,locality
-100000000009463065,malueka,9,locality
-100000000008941152,cité du fleuve,9,locality
-100000000008941155,kingabwa pêcheur,9,locality
